"","chr","SNPid","physPos","linkMapPos"
"Chr01_50298879","Chr01","Chr01_50298879",50298879,88.5112017430119
"Chr01_50344722","Chr01","Chr01_50344722",50344722,88.5918733400846
"Chr01_50541079","Chr01","Chr01_50541079",50541079,88.9374099058942
"Chr01_50641046","Chr01","Chr01_50641046",50641046,89.1133254774007
"Chr01_50870511","Chr01","Chr01_50870511",50870511,89.5171233968713
"Chr01_51049668","Chr01","Chr01_51049668",51049668,89.8323924961178
"Chr01_51078986","Chr01","Chr01_51078986",51078986,89.8839844487165
"Chr01_51175986","Chr01","Chr01_51175986",51175986,90.0546788822408
"Chr01_51180977","Chr01","Chr01_51180977",51180977,90.0634617267533
"Chr01_51203252","Chr01","Chr01_51203252",51203252,90.1026598556889
"Chr01_51222397","Chr01","Chr01_51222397",51222397,90.1363500096046
"Chr01_51487314","Chr01","Chr01_51487314",51487314,90.6025341049238
"Chr01_51490279","Chr01","Chr01_51490279",51490279,90.6077517234331
"Chr01_51615912","Chr01","Chr01_51615912",51615912,90.8288326901027
"Chr01_51675578","Chr01","Chr01_51675578",51675578,90.9338291238209
"Chr01_51700992","Chr01","Chr01_51700992",51700992,90.9785510654043
"Chr01_51702323","Chr01","Chr01_51702323",51702323,90.98089327459
"Chr01_51786072","Chr01","Chr01_51786072",51786072,91.1282694407058
"Chr01_51805446","Chr01","Chr01_51805446",51805446,91.1623625742635
"Chr01_51934952","Chr01","Chr01_51934952",51934952,91.3902590001192
"Chr01_51959921","Chr01","Chr01_51959921",51959921,91.434197858992
"Chr01_52774289","Chr01","Chr01_52774289",52774289,92.8672708944592
"Chr01_52820603","Chr01","Chr01_52820603",52820603,92.9487713273896
"Chr01_52869188","Chr01","Chr01_52869188",52869188,93.0342681217481
"Chr01_53025166","Chr01","Chr01_53025166",53025166,93.3087482903281
"Chr01_54257622","Chr01","Chr01_54257622",54257622,95.4775460095407
"Chr01_54292055","Chr01","Chr01_54292055",54292055,95.538139013969
"Chr01_55040733","Chr01","Chr01_55040733",55040733,96.8556149634753
"Chr01_55194382","Chr01","Chr01_55194382",55194382,97.1259967059142
"Chr01_55587339","Chr01","Chr01_55587339",55587339,97.8174974534854
"Chr01_55709593","Chr01","Chr01_55709593",55709593,98.0326322707646
"Chr01_55754388","Chr01","Chr01_55754388",55754388,98.1114596640607
"Chr01_55765219","Chr01","Chr01_55765219",55765219,98.1305193693133
"Chr01_55777514","Chr01","Chr01_55777514",55777514,98.1521553286966
"Chr01_55863203","Chr01","Chr01_55863203",55863203,98.3029453834828
"Chr01_55913184","Chr01","Chr01_55913184",55913184,98.390898769895
"Chr01_56100876","Chr01","Chr01_56100876",56100876,98.7211872195552
"Chr01_56477322","Chr01","Chr01_56477322",56477322,99.3836329589623
"Chr01_56561308","Chr01","Chr01_56561308",56561308,99.5314261826115
"Chr01_56603301","Chr01","Chr01_56603301",56603301,99.6053227944361
"Chr01_56613143","Chr01","Chr01_56613143",56613143,99.6226421203613
"Chr01_56617695","Chr01","Chr01_56617695",56617695,99.630652440582
"Chr01_56664522","Chr01","Chr01_56664522",56664522,99.7130556182999
"Chr02_00000845","Chr02","Chr02_00000845",845,0.000535356971704696
"Chr02_00115144","Chr02","Chr02_00115144",115144,0.235884458928916
"Chr02_00134699","Chr02","Chr02_00134699",134699,0.276149480396937
"Chr02_00138761","Chr02","Chr02_00138761",138761,0.284513403547185
"Chr02_00268282","Chr02","Chr02_00268282",268282,0.55120559713243
"Chr02_00549511","Chr02","Chr02_00549511",549511,1.13027446557681
"Chr02_00675440","Chr02","Chr02_00675440",675440,1.38957049669143
"Chr02_00900419","Chr02","Chr02_00900419",900419,1.85281694337278
"Chr02_01850744","Chr02","Chr02_01850744",1850744,3.80959815158534
"Chr02_02273099","Chr02","Chr02_02273099",2273099,4.67925466614048
"Chr02_02387768","Chr02","Chr02_02387768",2387768,4.91536562224973
"Chr02_02480187","Chr02","Chr02_02480187",2480187,5.10566237597272
"Chr02_03217646","Chr02","Chr02_03217646",3217646,6.62413859518954
"Chr02_03219305","Chr02","Chr02_03219305",3219305,6.62755458448207
"Chr02_03271876","Chr02","Chr02_03271876",3271876,6.73580170509548
"Chr02_03656733","Chr02","Chr02_03656733",3656733,7.52824738993915
"Chr02_03767436","Chr02","Chr02_03767436",3767436,7.75619209316463
"Chr02_03863702","Chr02","Chr02_03863702",3863702,7.95441007100357
"Chr02_04186820","Chr02","Chr02_04186820",4186820,8.61973112478541
"Chr02_04190189","Chr02","Chr02_04190189",4190189,8.62666811569954
"Chr02_04236719","Chr02","Chr02_04236719",4236719,8.72247642298192
"Chr02_04303075","Chr02","Chr02_04303075",4303075,8.85910775842206
"Chr02_04325348","Chr02","Chr02_04325348",4325348,8.90496931930967
"Chr02_04609309","Chr02","Chr02_04609309",4609309,9.48966355408751
"Chr02_04695123","Chr02","Chr02_04695123",4695123,9.66636018166392
"Chr02_04945408","Chr02","Chr02_04945408",4945408,10.1817133342143
"Chr02_04985356","Chr02","Chr02_04985356",4985356,10.2639688738515
"Chr02_04988523","Chr02","Chr02_04988523",4988523,10.2704899335799
"Chr02_05013647","Chr02","Chr02_05013647",5013647,10.3222218895688
"Chr02_05026965","Chr02","Chr02_05026965",5026965,10.3496445209117
"Chr02_05141745","Chr02","Chr02_05141745",5141745,10.5859840332666
"Chr02_05169113","Chr02","Chr02_05169113",5169113,10.6423365317343
"Chr02_05183247","Chr02","Chr02_05183247",5183247,10.6714393603423
"Chr02_05414221","Chr02","Chr02_05414221",5414221,11.147029903352
"Chr02_05595388","Chr02","Chr02_05595388",5595388,11.5200645821706
"Chr02_05654643","Chr02","Chr02_05654643",5654643,11.6420744950873
"Chr02_05744741","Chr02","Chr02_05744741",5744741,11.8275921583052
"Chr02_05885075","Chr02","Chr02_05885075",5885075,12.1165490247176
"Chr02_05897663","Chr02","Chr02_05897663",5897663,12.1424685384092
"Chr02_05912917","Chr02","Chr02_05912917",5912917,12.173877520126
"Chr02_05962938","Chr02","Chr02_05962938",5962938,12.2768740242862
"Chr02_06017275","Chr02","Chr02_06017275",6017275,12.3887574541766
"Chr02_06038218","Chr02","Chr02_06038218",6038218,12.4318804582474
"Chr02_06235097","Chr02","Chr02_06235097",6235097,12.8372671706792
"Chr02_06252260","Chr02","Chr02_06252260",6252260,12.8726069080075
"Chr02_06349200","Chr02","Chr02_06349200",6349200,13.0722126958423
"Chr02_06427774","Chr02","Chr02_06427774",6427774,13.234001690822
"Chr02_06594352","Chr02","Chr02_06594352",6594352,13.5769966663321
"Chr02_06618953","Chr02","Chr02_06618953",6618953,13.6276517311818
"Chr02_06884002","Chr02","Chr02_06884002",6884002,14.1734049234639
"Chr02_06913789","Chr02","Chr02_06913789",6913789,14.2347383008338
"Chr02_06960298","Chr02","Chr02_06960298",6960298,14.3305033677454
"Chr02_07059140","Chr02","Chr02_07059140",7059140,14.5340254977348
"Chr02_07128210","Chr02","Chr02_07128210",7128210,14.6762451363334
"Chr02_07136869","Chr02","Chr02_07136869",7136869,14.6940745825564
"Chr02_07160962","Chr02","Chr02_07160962",7160962,14.743683642246
"Chr02_07163885","Chr02","Chr02_07163885",7163885,14.7497022900471
"Chr02_07216892","Chr02","Chr02_07216892",7216892,14.8588471631208
"Chr02_07229526","Chr02","Chr02_07229526",7229526,14.8848613938151
"Chr02_07523803","Chr02","Chr02_07523803",7523803,15.4907969459779
"Chr02_07940039","Chr02","Chr02_07940039",7940039,16.3478540401105
"Chr02_08183951","Chr02","Chr02_08183951",8183951,16.8500847696583
"Chr02_08205082","Chr02","Chr02_08205082",8205082,16.893594878001
"Chr02_08440104","Chr02","Chr02_08440104",8440104,17.3775205172471
"Chr02_08465239","Chr02","Chr02_08465239",8465239,17.429275122954
"Chr02_08785617","Chr02","Chr02_08785617",8785617,18.0889543378802
"Chr02_09315642","Chr02","Chr02_09315642",9315642,19.1803104106793
"Chr02_09316790","Chr02","Chr02_09316790",9316790,19.1826742176159
"Chr02_09456274","Chr02","Chr02_09456274",9456274,19.4698808785439
"Chr02_09601301","Chr02","Chr02_09601301",9601301,19.7685009382955
"Chr02_09698794","Chr02","Chr02_09698794",9698794,19.9692453892278
"Chr02_09966567","Chr02","Chr02_09966567",9966567,20.5206074753212
"Chr02_10031386","Chr02","Chr02_10031386",10031386,20.6540740274324
"Chr02_10090434","Chr02","Chr02_10090434",10090434,20.7756577138371
"Chr02_10102649","Chr02","Chr02_10102649",10102649,20.8008091961809
"Chr02_10136828","Chr02","Chr02_10136828",10136828,20.871185988242
"Chr02_10290733","Chr02","Chr02_10290733",10290733,21.188086429512
"Chr02_10324498","Chr02","Chr02_10324498",10324498,21.257610768549
"Chr02_10608005","Chr02","Chr02_10608005",10608005,21.8413701876916
"Chr02_10630134","Chr02","Chr02_10630134",10630134,21.8869352431795
"Chr02_10947322","Chr02","Chr02_10947322",10947322,22.5400460398759
"Chr02_10961508","Chr02","Chr02_10961508",10961508,22.5692559398783
"Chr02_11008640","Chr02","Chr02_11008640",11008640,22.6663038044567
"Chr02_11331032","Chr02","Chr02_11331032",11331032,23.3301299768483
"Chr02_11345816","Chr02","Chr02_11345816",11345816,23.3605711978855
"Chr02_11384395","Chr02","Chr02_11384395",11384395,23.4400078771601
"Chr02_11673536","Chr02","Chr02_11673536",11673536,24.0353680700665
"Chr02_11932814","Chr02","Chr02_11932814",11932814,24.5692383966421
"Chr02_11936070","Chr02","Chr02_11936070",11936070,24.5759427131801
"Chr02_11950345","Chr02","Chr02_11950345",11950345,24.6053358699919
"Chr02_12167895","Chr02","Chr02_12167895",12167895,25.0532855207395
"Chr02_12218462","Chr02","Chr02_12218462",12218462,25.1574062745402
"Chr02_12382716","Chr02","Chr02_12382716",12382716,25.4956159823494
"Chr02_12433721","Chr02","Chr02_12433721",12433721,25.6006386067409
"Chr02_12480059","Chr02","Chr02_12480059",12480059,25.6960515734903
"Chr02_12766052","Chr02","Chr02_12766052",12766052,26.2849298289086
"Chr02_13012460","Chr02","Chr02_13012460",13012460,26.7922999853848
"Chr02_13126684","Chr02","Chr02_13126684",13126684,27.0274946574463
"Chr02_13406019","Chr02","Chr02_13406019",13406019,27.6026636562583
"Chr02_13592578","Chr02","Chr02_13592578",13592578,27.9868008150439
"Chr02_13595863","Chr02","Chr02_13595863",13595863,27.9935648444749
"Chr02_13753669","Chr02","Chr02_13753669",13753669,28.3184976993858
"Chr02_13796414","Chr02","Chr02_13796414",13796414,28.4065124445993
"Chr02_13851450","Chr02","Chr02_13851450",13851450,28.5198351611175
"Chr02_13978058","Chr02","Chr02_13978058",13978058,28.7805292975544
"Chr02_13998100","Chr02","Chr02_13998100",13998100,28.8217970838117
"Chr02_14014397","Chr02","Chr02_14014397",14014397,28.8553536706112
"Chr02_14057660","Chr02","Chr02_14057660",14057660,28.9444350116376
"Chr02_14060769","Chr02","Chr02_14060769",14060769,28.9508366455801
"Chr02_14136399","Chr02","Chr02_14136399",14136399,29.1065637523878
"Chr02_14209833","Chr02","Chr02_14209833",14209833,29.25776915185
"Chr02_14266435","Chr02","Chr02_14266435",14266435,29.3743163645901
"Chr02_14428891","Chr02","Chr02_14428891",14428891,29.7088238730334
"Chr02_14689314","Chr02","Chr02_14689314",14689314,30.2450518293498
"Chr02_14709464","Chr02","Chr02_14709464",14709464,30.2865419946569
"Chr02_14727653","Chr02","Chr02_14727653",14727653,30.3239943329582
"Chr02_14791072","Chr02","Chr02_14791072",14791072,30.4545781936833
"Chr02_14855326","Chr02","Chr02_14855326",14855326,30.5868813739138
"Chr02_14876179","Chr02","Chr02_14876179",14876179,30.6298190621098
"Chr02_15025447","Chr02","Chr02_15025447",15025447,30.937171617696
"Chr02_15406294","Chr02","Chr02_15406294",15406294,31.7213604507837
"Chr02_15435172","Chr02","Chr02_15435172",15435172,31.7808221378179
"Chr02_15494530","Chr02","Chr02_15494530",15494530,31.9030441344581
"Chr02_15504950","Chr02","Chr02_15504950",15504950,31.9244995946318
"Chr02_15526759","Chr02","Chr02_15526759",15526759,31.9694057492315
"Chr02_15598894","Chr02","Chr02_15598894",15598894,32.1179364229004
"Chr02_15704672","Chr02","Chr02_15704672",15704672,32.3357402296426
"Chr02_15798923","Chr02","Chr02_15798923",15798923,32.5298091909508
"Chr02_16096448","Chr02","Chr02_16096448",16096448,33.1424325871294
"Chr02_18783061","Chr02","Chr02_18783061",18783061,38.6743441249082
"Chr02_19388477","Chr02","Chr02_19388477",19388477,39.9209351879142
"Chr02_21482990","Chr02","Chr02_21482990",21482990,44.2336741758993
"Chr02_21785337","Chr02","Chr02_21785337",21785337,44.8562263848377
"Chr02_23500763","Chr02","Chr02_23500763",23500763,48.3884004946204
"Chr02_24731250","Chr02","Chr02_24731250",24731250,50.9220535486281
"Chr02_31222047","Chr02","Chr02_31222047",31222047,64.2870282635124
"Chr02_32758957","Chr02","Chr02_32758957",32758957,67.4516262765227
"Chr02_33107780","Chr02","Chr02_33107780",33107780,68.1698756032186
"Chr02_36462175","Chr02","Chr02_36462175",36462175,75.0767938689931
"Chr02_36597631","Chr02","Chr02_36597631",36597631,75.3557066149902
"Chr02_36847607","Chr02","Chr02_36847607",36847607,75.8704235163704
"Chr02_37265954","Chr02","Chr02_37265954",37265954,76.7318272973002
"Chr02_38885164","Chr02","Chr02_38885164",38885164,80.0658863825077
"Chr02_38983644","Chr02","Chr02_38983644",38983644,80.2686631308672
"Chr02_38991212","Chr02","Chr02_38991212",38991212,80.2842461368744
"Chr02_39121116","Chr02","Chr02_39121116",39121116,80.5517269524603
"Chr02_39394742","Chr02","Chr02_39394742",39394742,81.1151407476128
"Chr02_39441152","Chr02","Chr02_39441152",39441152,81.2107019670621
"Chr02_39753592","Chr02","Chr02_39753592",39753592,81.8540363218291
"Chr02_39808800","Chr02","Chr02_39808800",39808800,81.9677131975748
"Chr02_39995986","Chr02","Chr02_39995986",39995986,82.3531413902883
"Chr02_40185325","Chr02","Chr02_40185325",40185325,82.7430027505406
"Chr02_40258712","Chr02","Chr02_40258712",40258712,82.8941113739348
"Chr02_40585878","Chr02","Chr02_40585878",40585878,83.567767523953
"Chr02_40871203","Chr02","Chr02_40871203",40871203,84.155270323767
"Chr02_40951126","Chr02","Chr02_40951126",40951126,84.3198369978038
"Chr02_41294994","Chr02","Chr02_41294994",41294994,85.0278836560582
"Chr02_41336419","Chr02","Chr02_41336419",41336419,85.1131804351077
"Chr02_41340292","Chr02","Chr02_41340292",41340292,85.1211551949208
"Chr02_41381391","Chr02","Chr02_41381391",41381391,85.2057807186904
"Chr02_41421888","Chr02","Chr02_41421888",41421888,85.2891666851639
"Chr02_41692880","Chr02","Chr02_41692880",41692880,85.8471569023801
"Chr02_42422647","Chr02","Chr02_42422647",42422647,87.3497947914956
"Chr02_42428125","Chr02","Chr02_42428125",42428125,87.3610743510763
"Chr02_42471346","Chr02","Chr02_42471346",42471346,87.4500692113611
"Chr02_42549073","Chr02","Chr02_42549073",42549073,87.6101141780522
"Chr02_42750567","Chr02","Chr02_42750567",42750567,88.0250034767317
"Chr02_43002040","Chr02","Chr02_43002040",43002040,88.5428027988298
"Chr02_43511079","Chr02","Chr02_43511079",43511079,89.5909473277513
"Chr02_43890036","Chr02","Chr02_43890036",43890036,90.3712445274678
"Chr02_44311675","Chr02","Chr02_44311675",44311675,91.2394267512855
"Chr02_44522700","Chr02","Chr02_44522700",44522700,91.6739410011085
"Chr02_44658280","Chr02","Chr02_44658280",44658280,91.9531090711997
"Chr02_45119506","Chr02","Chr02_45119506",45119506,92.90280351209
"Chr02_45180944","Chr02","Chr02_45180944",45180944,93.0293083645038
"Chr02_45509735","Chr02","Chr02_45509735",45509735,93.7063104955952
"Chr02_45662767","Chr02","Chr02_45662767",45662767,94.0214133728795
"Chr02_45915651","Chr02","Chr02_45915651",45915651,94.5421180360817
"Chr02_45929302","Chr02","Chr02_45929302",45929302,94.5702263361614
"Chr02_45978555","Chr02","Chr02_45978555",45978555,94.6716414781898
"Chr02_46127769","Chr02","Chr02_46127769",46127769,94.9788828442511
"Chr02_46252420","Chr02","Chr02_46252420",46252420,95.2355473899433
"Chr02_46319428","Chr02","Chr02_46319428",46319428,95.3735212359432
"Chr02_46511330","Chr02","Chr02_46511330",46511330,95.7686599804974
"Chr02_46604023","Chr02","Chr02_46604023",46604023,95.9595209181059
"Chr02_46917310","Chr02","Chr02_46917310",46917310,96.6045993011615
"Chr02_47015392","Chr02","Chr02_47015392",47015392,96.8065565415413
"Chr02_47020231","Chr02","Chr02_47020231",47020231,96.8165203584108
"Chr02_47037070","Chr02","Chr02_47037070",47037070,96.8511929585898
